0	1984	5	1611039929077
0	776	2	1611039929092
0	404	3	1611039929092
0	4889	0	1611039929092
0	1913	3	1611039929092
0	1280	0	1611039929092
0	1812	3	1611039929092
0	3456	2	1611039929092
0	3727	1	1611039929092
0	3610	2	1611039929092
0	4247	2	1611039929092
0	1880	4	1611039929092
0	640	2	1611039929092
1	3529	2	1611039929092
2	1125	0	1611039929092
2	1682	4	1611039929092
2	1587	2	1611039929092
2	3300	3	1611039929092
2	2413	1	1611039929092
2	1447	1	1611039929092
2	1022	5	1611039929092
2	291	3	1611039929092
2	3559	5	1611039929092
2	3449	3	1611039929092
2	2549	5	1611039929092
2	1176	4	1611039929092
2	4728	4	1611039929092
2	2741	4	1611039929092
2	3223	1	1611039929092
2	1994	4	1611039929092
2	1948	5	1611039929092
2	2968	2	1611039929092
2	1430	3	1611039929092
2	1778	4	1611039929092
2	1551	2	1611039929092
2	581	1	1611039929092
2	2194	5	1611039929092
2	3400	1	1611039929092
4	2478	0	1611039929092
4	947	4	1611039929092
4	379	1	1611039929092
4	4434	0	1611039929092
4	3520	5	1611039929092
4	4990	1	1611039929092
4	3491	5	1611039929092
4	2167	5	1611039929092
4	2457	2	1611039929092
4	125	1	1611039929092
4	4448	1	1611039929092
4	2456	0	1611039929092
5	2477	0	1611039929092
5	2388	2	1611039929092
5	4179	2	1611039929092
5	572	1	1611039929092
5	3653	0	1611039929092
5	2437	4	1611039929092
5	4130	4	1611039929092
5	4746	1	1611039929092
5	1281	2	1611039929092
5	3979	1	1611039929092
5	3977	3	1611039929092
5	4736	1	1611039929092
5	4588	4	1611039929108
6	4436	4	1611039929108
6	3706	3	1611039929108
7	3070	5	1611039929108
7	4529	1	1611039929108
7	2616	3	1611039929108
7	3394	0	1611039929108
7	2460	3	1611039929108
7	611	1	1611039929108
7	429	2	1611039929108
7	2313	1	1611039929108
7	1192	4	1611039929108
7	4915	2	1611039929108
7	3383	4	1611039929108
7	1691	1	1611039929108
7	2619	1	1611039929108
7	2550	4	1611039929108
7	4235	1	1611039929108
7	1023	1	1611039929108
7	1385	4	1611039929108
7	2890	2	1611039929108
7	257	0	1611039929108
7	461	2	1611039929108
7	206	3	1611039929108
7	965	4	1611039929108
7	3456	2	1611039929108
8	262	4	1611039929108
8	3921	1	1611039929108
8	4800	4	1611039929108
9	3013	3	1611039929108
9	4852	4	1611039929108
9	3732	5	1611039929108
9	248	3	1611039929108
9	896	4	1611039929108
10	1167	1	1611039929108
10	127	1	1611039929108
10	2053	0	1611039929108
10	2283	4	1611039929108
10	4253	1	1611039929108
10	4812	2	1611039929108
10	604	3	1611039929108
10	3607	2	1611039929108
10	408	1	1611039929108
10	463	5	1611039929108
10	1243	0	1611039929108
10	2928	3	1611039929108
10	651	4	1611039929108
10	405	3	1611039929108
10	2684	4	1611039929108
10	3267	0	1611039929108
10	4168	5	1611039929108
11	1137	2	1611039929108
12	3109	5	1611039929108
12	4928	0	1611039929108
12	987	4	1611039929108
13	4630	1	1611039929108
13	644	1	1611039929108
13	4017	0	1611039929108
14	1123	5	1611039929108
14	4936	2	1611039929108
15	4126	2	1611039929108
15	158	4	1611039929108
15	1575	4	1611039929108
15	3962	5	1611039929108
18	712	2	1611039929108
18	387	5	1611039929108
18	1727	1	1611039929108
18	4922	3	1611039929108
19	2145	4	1611039929108
19	528	3	1611039929108
19	3363	1	1611039929108
20	3309	4	1611039929108
21	4194	0	1611039929108
21	4632	2	1611039929108
21	2725	2	1611039929108
21	1596	5	1611039929108
21	4539	0	1611039929108
